level,question,answer,topic
Hard,What is the Sega Master System called in Japan?,Sega Mark III,video-games
Easy,"What classic videogame did Tony Stark catch a member of S.H.I.E.L.D. playing in the first ""Avengers"" movie?",Galaga,video-games
Hard,SK Telecom T1 are accomplished eGamers associated with which game?,League of Legends,video-games
Hard,"Which Mario character has appeared in all but one ""Mario Party"" game?",Wario,video-games
Medium,"What is the name of the hero from ""Mike Tyson's Punch-Out""?",Little Mac,video-games
VeryHard,What is the name of the woman Mario is attempting to save from the giant ape in the original Donkey Kong?,Pauline,video-games
VeryHard,"Which pop media icon was recently memorialized in ""World of Warcraft"" in late 2018?",Stan Lee,video-games
Easy,"A pickaxe is a basic, commonly-used tool in which videogame?",Minecraft,video-games
Medium,What videogame featured the first Easter egg?,Adventure,video-games
Hard,What was the first videogame to feature basketball legend Michael Jordan?,Jordan vs. Bird,video-games
Hard,"In 2018, which famous rapper released an official music video heavily-inspired by ""Minecraft""?",Kanye West,video-games
Hard,What was the first videogame system released to be used in conjunction with a television?,Magnavox Odyssey,video-games
Hard,Ed Boon and John Tobias are the original designers of which renowned videogame franchise?,Mortal Kombat,video-games
VeryHard,"Which theme park was inspired and is heavily influenced by ""World or Warcraft"" and ""StarCraft""?",World Joyland,video-games
Medium,Which videogame is generally considered to be the original third-person shooter?,Wolfenstein 3D,video-games
Easy,Mario originated as a character in which classic videogame?,Donkey Kong,video-games
VeryHard,"What popular videogame character goes by the codename ""Killer Bee""?",Cammy,video-games
Easy,Characters in videogames who cannot be outrightly controlled by players are acronymed as what?,NPCs,video-games
Hard,Which iconic videogame character originated as a simple placeholder?,Kirby,video-games
Easy,"A pickaxe is a basic, commonly-used tool in which videogame?",Minecraft,video-games
